duke
pts_per_g,67.1,215th,15.4,15.3,11.6,10.0,8.1,3.5,3.1,2.5,1.1,1.1,0.6,0.4,0.3,0.0,0.0,0.0
orb,320,267th
drb,736,196th
ast,412,175th
stl,187,251st
blk,113,152nd
tov,289,1st
pf,537,287th
opp_fg_pct,.424,136th
opp_fg2_pct,.452,76th
opp_fg3_pct,.343,185th
opp_orb,263,6th
opp_drb,739,148th
opp_ast,314,11th
opp_stl,148,4th
opp_blk,74,11th
opp_tov,396,269th
opp_pf,586,155th
opp_pts_per_g,56.9,4th
SOS:,7.66
ORtg:,111.3
DRtg:,94.4
wofford
g,35,0,35,0,35,35,35,35,35,35,35,32,34,35,26,9,9,9,9
fg_pct,.440,145th,.579,.406,.354,.387,.436,.397,.529,.366,.451,.349,.447,.500,.400,.750,.167
fga,1873,102nd
fg2_pct,.481,165th,.580,.417,.311,.389,.438,.435,.529,.540,.586,.304,.477,0,.400,1.000,.333
fg2a,1293,93rd
